PRIMER DÍGITO;SEGUNDO DÍGITO;CUENTA ALTERNATIVA A 6 DÍGITOS;CUENTA OPERATIVA;CONCEPTO;SALDO FULL IFRS;DIVISA
1;11;110505;;EFECTIVO;180.674.202,16;USD
1;11;110510;;CHEQUES;0,00;USD
1;11;110515;;DEPÓSITOS POR PRIMAS RECAUDADAS;0,00;USD
1;11;110520;;CAJA MENOR;0,00;USD
1;11;111005;;CUENTA CORRIENTE BANCARIA;0,00;USD
1;11;111010;;CERTIFICADOS DE CAMBIO PROPIOS;0,00;USD
1;11;111015;;CERTIFICADOS DE CAMBIO EN ADMINISTRACIÓN;0,00;USD
1;11;111020;;DEPÓSITOS DE CONTRACCIÓN MONETARIA;0,00;USD
1;11;111505;;BANCOS NACIONALES;0,00;USD
1;11;111510;;BANCOS DEL EXTERIOR;584.416.853,12;USD
1;11;111515;;CORRESPONSALES;0,00;USD
1;11;111520;;SUCURSALES EN EL EXTRANJERO;0,00;USD
1;11;111525;;DEPÓSITOS POR PRIMAS RECAUDADAS;0,00;USD
1;11;111595;;OTRAS ENTIDADES FINANCIERAS;0,00;USD
1;11;112000;;CANJE;16.997.058,37;USD
1;11;112500;;ADMINISTRACIÓN DE LIQUIDEZ ;0,00;USD
1;11;113005;;CHEQUES PAÍS;0,00;USD
1;11;113010;;CHEQUES SOBRE EL EXTERIOR;0,00;USD
1;11;113200;;FONDOS EN TRANSITO;0,00;USD
1;11;113500;;FONDOS ESPECIALES;0,00;USD
1;12;120505;;COMPAÑÍAS DE SEGUROS GENERALES;0,00;USD
1;12;120510;;COMPAÑÍAS DE SEGUROS DE VIDA;0,00;USD
1;12;120515;;SOCIEDADES DE REASEGUROS;0,00;USD
1;12;120520;;SOCIEDADES DE CAPITALIZACIÓN;0,00;USD
1;12;121005;;BANCOS;273.853.574,09;USD
1;12;121010;;CORPORACIONES FINANCIERAS;0,00;USD
1;12;121015;;COMPAÑÍAS DE FINANCIAMIENTO ;0,00;USD
1;12;121020;;BANCO DE LA REPÚBLICA;0,00;USD
1;12;121025;;TESORERÍA GENERAL DE LA NACIÓN;0,00;USD
1;12;121030;;ENTIDADES DEL SECTOR PÚBLICO;0,00;USD
1;12;121035;;RESIDENTES DEL EXTERIOR;0,00;USD
1;12;121095;;OTRAS ENTIDADES FINANCIERAS;0,00;USD
1;12;121505;;COMPROMISOS DE TRANSFERENCIA EN OPERACIONES DE REPO ABIERTO;12.801.356,00;USD
1;12;121510;;COMPROMISOS DE TRANSFERENCIA EN OPERACIONES DE REPO CERRADO;0,00;USD
1;12;121515;;CUPONES POR RECIBIR DE VALORES EN OPERACIONES REPO;0,00;USD
1;12;121520;;CUENTAS POR COBRAR POR INCUMPLIMIENTO O TERMINACIÓN ANTICIPADA EN OPERACIONES REPO ;0,00;USD
1;12;121525;;LLAMADO AL MARGEN ENTREGADO EN DINERO EN OPERACIONES REPO;0,00;USD
